"Date","Price","Open","High","Low","Vol.","Change %"
"09/24/2025","29,050.0","28,650.0","29,050.0","28,250.0","30.74M","1.40%"
"09/23/2025","28,650.0","28,550.0","28,850.0","28,450.0","24.90M","0.88%"
"09/22/2025","28,400.0","29,250.0","29,250.0","28,300.0","66.07M","-2.91%"
"09/19/2025","29,250.0","29,300.0","29,400.0","28,800.0","45.02M","0.34%"
"09/18/2025","29,150.0","29,350.0","29,400.0","28,600.0","75.69M","-0.17%"
"09/17/2025","29,200.0","29,900.0","30,250.0","29,200.0","124.42M","-2.50%"
"09/16/2025","29,950.0","30,550.0","30,550.0","29,750.0","66.86M","-1.32%"
"09/15/2025","30,350.0","30,250.0","30,850.0","30,100.0","88.92M","1.17%"
"09/12/2025","30,000.0","29,200.0","30,100.0","29,150.0","104.62M","2.92%"
"09/11/2025","29,150.0","28,700.0","29,200.0","28,000.0","71.78M","1.04%"
"09/10/2025","28,850.0","28,850.0","29,200.0","28,400.0","52.46M","0.00%"
"09/09/2025","28,850.0","29,200.0","29,250.0","28,200.0","73.86M","-0.17%"
"09/08/2025","28,900.0","28,700.0","29,750.0","28,650.0","141.77M","0.35%"
"09/05/2025","28,800.0","30,000.0","30,100.0","28,800.0","95.26M","-3.52%"
"09/04/2025","29,850.0","28,450.0","29,900.0","28,350.0","141.44M","6.04%"
"09/03/2025","28,150.0","27,400.0","29,000.0","27,250.0","119.14M","2.36%"
"08/29/2025","27,500.0","27,200.0","27,850.0","27,050.0","81.74M","1.48%"
"08/28/2025","27,100.0","26,950.0","27,500.0","26,850.0","63.17M","1.31%"
"08/27/2025","26,750.0","27,250.0","27,250.0","26,750.0","85.99M","-1.65%"
"08/26/2025","27,200.0","26,100.0","27,200.0","26,100.0","51.99M","4.82%"
"08/25/2025","25,950.0","26,500.0","26,750.0","25,850.0","68.32M","-0.19%"
"08/22/2025","26,000.0","26,950.0","27,100.0","26,000.0","132.31M","-5.11%"
"08/21/2025","27,400.0","27,450.0","27,800.0","27,300.0","69.98M","0.00%"
"08/20/2025","27,400.0","28,200.0","28,250.0","27,050.0","101.01M","-2.66%"
"08/19/2025","28,150.0","28,600.0","28,700.0","28,100.0","63.02M","-0.88%"
"08/18/2025","28,400.0","28,300.0","28,800.0","28,200.0","69.04M","1.43%"
"08/15/2025","28,000.0","28,450.0","28,800.0","27,850.0","107.93M","-0.71%"
"08/14/2025","28,200.0","28,200.0","28,450.0","28,000.0","76.05M","0.36%"
"08/13/2025","28,100.0","28,550.0","28,600.0","27,850.0","79.77M","-1.40%"
"08/12/2025","28,500.0","28,350.0","29,100.0","28,150.0","84.20M","1.24%"
"08/11/2025","28,150.0","28,150.0","28,450.0","27,800.0","67.22M","0.54%"
"08/08/2025","28,000.0","28,600.0","28,650.0","27,600.0","121.06M","-1.75%"
"08/07/2025","28,500.0","27,350.0","28,550.0","27,000.0","139.12M","5.17%"
"08/06/2025","27,100.0","26,750.0","27,700.0","26,650.0","96.17M","2.65%"
"08/05/2025","26,400.0","25,450.0","27,050.0","25,450.0","216.00M","4.35%"
"08/04/2025","25,300.0","25,100.0","25,450.0","24,950.0","37.06M","0.60%"
"08/01/2025","25,150.0","24,850.0","25,300.0","24,800.0","50.80M","0.80%"
"07/31/2025","24,950.0","25,450.0","25,600.0","24,750.0","85.33M","-1.77%"
"07/30/2025","25,400.0","25,600.0","25,750.0","25,100.0","50.19M","0.20%"
"07/29/2025","25,350.0","26,450.0","26,600.0","25,350.0","82.60M","-3.80%"
"07/28/2025","26,350.0","26,100.0","26,850.0","26,000.0","99.59M","1.15%"
"07/25/2025","26,050.0","26,000.0","26,300.0","25,900.0","51.08M","0.19%"
"07/24/2025","26,000.0","26,400.0","26,450.0","25,900.0","51.91M","-1.52%"
"07/23/2025","26,400.0","26,550.0","26,950.0","26,400.0","43.12M","-0.19%"
"07/22/2025","26,450.0","26,150.0","26,450.0","26,000.0","31.50M","0.95%"
"07/21/2025","26,200.0","26,400.0","27,000.0","26,100.0","55.77M","1.16%"
"07/18/2025","25,900.0","26,000.0","26,100.0","25,750.0","40.72M","-0.38%"
"07/17/2025","26,000.0","26,200.0","26,350.0","25,900.0","56.23M","-0.38%"
"07/16/2025","26,100.0","25,450.0","26,200.0","25,400.0","45.89M","2.35%"
"07/15/2025","25,500.0","25,800.0","26,000.0","25,500.0","46.51M","-0.97%"
"07/14/2025","25,750.0","26,200.0","26,450.0","25,550.0","49.44M","-0.96%"
"07/11/2025","26,000.0","25,250.0","26,250.0","25,050.0","65.29M","3.38%"
"07/10/2025","25,150.0","24,850.0","25,200.0","24,550.0","85.28M","1.62%"
"07/09/2025","24,750.0","24,800.0","25,100.0","24,600.0","43.46M","0.20%"
"07/08/2025","24,700.0","23,650.0","24,800.0","23,550.0","77.48M","4.66%"
"07/07/2025","23,600.0","23,700.0","23,700.0","23,400.0","36.00M","1.51%"
"07/04/2025","23,250.0","23,150.0","23,250.0","23,100.0","19.40M","0.65%"
"07/03/2025","23,100.0","23,000.0","23,650.0","23,000.0","42.51M","0.87%"
"07/02/2025","22,900.0","22,650.0","22,900.0","22,550.0","18.90M","1.10%"
"07/01/2025","22,650.0","22,750.0","22,900.0","22,600.0","19.77M","-0.22%"
"06/30/2025","22,700.0","22,900.0","22,950.0","22,700.0","19.89M","-0.66%"
"06/27/2025","22,850.0","22,950.0","22,950.0","22,750.0","16.48M","0.22%"
"06/26/2025","22,800.0","23,050.0","23,150.0","22,750.0","38.37M","0.59%"
"06/25/2025","22,666.7","22,583.3","22,875.0","22,458.3","46.37M","0.74%"
"06/24/2025","22,500.0","22,541.7","22,666.7","22,458.3","33.44M","0.56%"
"06/23/2025","22,375.0","22,375.0","22,500.0","22,166.7","26.63M","-0.56%"
"06/20/2025","22,500.0","22,500.0","22,583.3","22,375.0","28.10M","0.37%"
"06/19/2025","22,416.7","22,625.0","22,666.7","22,333.3","28.09M","-0.92%"
"06/18/2025","22,625.0","22,416.7","22,666.7","22,333.3","37.76M","1.12%"
"06/17/2025","22,375.0","22,416.7","22,583.3","22,291.7","31.95M","0.37%"
"06/16/2025","22,291.7","21,958.3","22,500.0","21,958.3","35.68M","1.33%"
"06/13/2025","22,000.0","22,166.7","22,291.7","21,916.7","46.52M","-1.49%"
"06/12/2025","22,333.3","21,791.7","22,583.3","21,791.7","62.66M","2.68%"
"06/11/2025","21,750.0","21,916.7","21,958.3","21,666.7","19.86M","-0.38%"
"06/10/2025","21,833.3","22,083.3","22,375.0","21,833.3","35.29M","-0.38%"
"06/09/2025","21,916.7","21,750.0","22,000.0","21,625.0","29.99M","0.96%"
"06/06/2025","21,708.3","21,708.3","22,083.3","21,583.3","50.69M","1.17%"
"06/05/2025","21,458.3","21,666.7","21,708.3","21,416.7","22.54M","-0.77%"
"06/04/2025","21,625.0","21,750.0","22,000.0","21,625.0","30.82M","-0.19%"
"06/03/2025","21,666.7","21,500.0","21,833.3","21,458.3","37.25M","1.76%"
"06/02/2025","21,291.7","21,333.3","21,375.0","21,125.0","26.32M","-0.78%"
"05/30/2025","21,458.3","21,375.0","22,208.3","21,375.0","77.97M","0.78%"
"05/29/2025","21,291.7","21,416.7","21,500.0","21,250.0","19.72M","-0.20%"
"05/28/2025","21,333.3","21,458.3","21,583.3","21,291.7","18.73M","0.20%"
"05/27/2025","21,291.7","21,291.7","21,791.7","21,291.7","32.27M","0.00%"
"05/26/2025","21,291.7","21,375.0","21,375.0","20,875.0","32.92M","-0.20%"
"05/23/2025","21,333.3","21,458.3","21,541.7","21,291.7","13.32M","-0.19%"
"05/22/2025","21,375.0","21,458.3","21,625.0","21,291.7","29.24M","-0.39%"
"05/21/2025","21,458.3","21,458.3","21,750.0","21,375.0","24.18M","0.39%"
"05/20/2025","21,375.0","21,333.3","21,500.0","21,333.3","20.94M","0.00%"
"05/19/2025","21,375.0","21,458.3","21,625.0","21,291.7","17.99M","-0.58%"
"05/16/2025","21,500.0","21,791.7","21,833.3","21,500.0","20.17M","-1.34%"
"05/15/2025","21,791.7","21,833.3","21,833.3","21,541.7","27.14M","0.00%"
"05/14/2025","21,791.7","21,583.3","22,125.0","21,541.7","40.89M","1.36%"
"05/13/2025","21,500.0","21,333.3","21,666.7","21,333.3","24.37M","1.57%"
"05/12/2025","21,166.7","21,291.7","21,458.3","20,625.0","77.68M","-0.97%"
"05/09/2025","21,375.0","21,416.7","21,458.3","21,250.0","13.21M","-0.19%"
"05/08/2025","21,416.7","21,166.7","21,541.7","21,083.3","23.87M","1.18%"
"05/07/2025","21,166.7","21,125.0","21,250.0","21,125.0","13.80M","-0.20%"
"05/06/2025","21,208.3","21,458.3","21,708.3","21,208.3","25.12M","-0.97%"
"05/05/2025","21,416.7","21,375.0","21,458.3","21,125.0","15.06M","0.78%"
"04/29/2025","21,250.0","21,375.0","21,416.7","21,166.7","17.36M","-0.58%"
"04/28/2025","21,375.0","21,416.7","21,416.7","21,125.0","11.71M","-0.19%"
"04/25/2025","21,416.7","21,208.3","21,416.7","21,041.7","29.82M","0.39%"
"04/24/2025","21,333.3","21,416.7","21,416.7","21,000.0","20.65M","0.20%"
"04/23/2025","21,291.7","21,250.0","21,416.7","21,125.0","26.68M","2.00%"
"04/22/2025","20,875.0","20,666.7","20,916.7","19,500.0","56.94M","0.40%"
"04/21/2025","20,791.7","21,208.3","21,208.3","20,791.7","20.77M","-1.96%"
"04/18/2025","21,208.3","21,375.0","21,458.3","21,208.3","24.92M","-0.20%"
"04/17/2025","21,250.0","21,000.0","21,333.3","20,666.7","29.33M","0.00%"
"04/16/2025","21,250.0","21,583.3","21,666.7","20,875.0","30.85M","-1.35%"
"04/15/2025","21,541.7","20,958.3","21,791.7","20,875.0","60.68M","1.97%"
"04/14/2025","21,125.0","20,666.7","21,458.3","20,625.0","61.44M","4.32%"
"04/11/2025","20,250.0","20,166.7","20,250.0","19,583.3","91.53M","6.81%"
"04/10/2025","18,958.3","18,958.3","18,958.3","18,958.3","3.67M","6.81%"
"04/09/2025","17,750.0","17,750.0","18,583.3","17,750.0","92.59M","-6.99%"
"04/08/2025","19,083.3","19,583.3","20,000.0","19,083.3","42.53M","-6.91%"
"04/04/2025","20,500.0","19,666.7","20,708.3","19,666.7","87.82M","-2.96%"
"04/03/2025","21,125.0","21,500.0","22,041.7","21,125.0","96.84M","-6.97%"
"04/02/2025","22,708.3","22,625.0","22,833.3","22,583.3","20.14M","0.93%"
"04/01/2025","22,500.0","22,333.3","22,541.7","22,291.7","16.82M","0.93%"
"03/31/2025","22,291.7","22,541.7","22,583.3","22,291.7","31.84M","-1.47%"
"03/28/2025","22,625.0","22,875.0","22,916.7","22,583.3","20.48M","-1.27%"
"03/27/2025","22,916.7","23,083.3","23,083.3","22,875.0","14.41M","-0.18%"
"03/26/2025","22,958.3","22,666.7","23,291.7","22,625.0","52.78M","1.29%"
"03/25/2025","22,666.7","22,708.3","22,833.3","22,583.3","24.12M","0.18%"
"03/24/2025","22,625.0","22,625.0","22,708.3","22,416.7","19.48M","0.00%"
"03/21/2025","22,625.0","22,583.3","22,708.3","22,541.7","22.69M","0.00%"
"03/20/2025","22,625.0","22,750.0","22,875.0","22,541.7","30.03M","-0.37%"
"03/19/2025","22,708.3","23,000.0","23,000.0","22,583.3","45.51M","-1.27%"
"03/18/2025","23,000.0","23,250.0","23,375.0","23,000.0","22.49M","-0.90%"
"03/17/2025","23,208.3","23,250.0","23,458.3","23,125.0","23.66M","1.09%"
"03/14/2025","22,958.3","23,083.3","23,208.3","22,958.3","21.94M","-0.54%"
"03/13/2025","23,083.3","23,208.3","23,375.0","23,083.3","29.77M","-0.36%"
"03/12/2025","23,166.7","23,500.0","23,500.0","23,166.7","24.77M","-1.24%"
