"Date","Price","Open","High","Low","Vol.","Change %"
"10/03/2025","27,650.0","28,100.0","28,100.0","27,350.0","58.12M","-1.60%"
"10/02/2025","28,100.0","28,350.0","28,650.0","28,050.0","30.17M","-0.71%"
"10/01/2025","28,300.0","28,300.0","28,500.0","28,100.0","29.85M","0.53%"
"09/30/2025","28,150.0","28,550.0","28,600.0","27,900.0","53.74M","-1.57%"
"09/29/2025","28,600.0","28,550.0","28,900.0","28,400.0","38.83M","0.18%"
"09/26/2025","28,550.0","28,850.0","29,200.0","28,550.0","38.13M","-0.87%"
"09/25/2025","28,800.0","29,150.0","29,300.0","28,750.0","34.44M","-0.86%"
